geoid,lat,lon,lstf,lstf_serc,lstf_arc,ndvi,ndvi_serc,ndvi_arc,ndmi,ndmi_serc,ndmi_arc,lstf_temporal,ndvi_temporal,ndmi_temporal,elv_rel,elv,idx_row,idx_col,mdrdasp,mdrdconc,mdrdgrv,mdrdunp,mdconst,mdbldg,lstf_ndvi_corr,lstf_ndmi_corr,ndvi_ndmi_corr,lstf_ndvi_pval,lstf_ndmi_pval,ndvi_ndmi_pval,slope,tri,downhill_fraction,dom_angle_deg,lstf_2016,lstf_2017,lstf_2018,lstf_2019,lstf_2020,lstf_2021,lstf_2022,lstf_2023,lstf_2024,lstf_2025,ndvi_2016,ndvi_2017,ndvi_2018,ndvi_2019,ndvi_2020,ndvi_2021,ndvi_2022,ndvi_2023,ndvi_2024,ndvi_2025,ndmi_2016,ndmi_2017,ndmi_2018,ndmi_2019,ndmi_2020,ndmi_2021,ndmi_2022,ndmi_2023,ndmi_2024,ndmi_2025
21,30.818313598632812,-105.10382080078125,80.38,7.26,0.81,0.08,-0.02,0.0,,,,"[83.25,79.48,83.66,73.37,79.92,75.55,90.65,72.83,74.60,90.50]","[0.10,0.09,0.10,0.09,-0.05,0.09,0.10,0.11,0.09,0.08]",,33.93,1185.73,0,21,,,,,,,-0.0,,,0.99,,,,0.06,0.54,161.32,83.25,79.48,83.66,73.37,79.92,75.55,90.65,72.83,74.6,90.5,0.1,0.09,0.1,0.09,-0.05,0.09,0.1,0.11,0.09,0.08,,,,,,,,,,
22,30.818313598632812,-105.10376739501953,80.44,7.28,0.81,0.08,-0.02,0.0,,,,"[83.28,79.54,83.72,73.44,79.98,75.60,90.68,72.91,74.65,90.56]","[0.10,0.09,0.10,0.09,-0.04,0.09,0.10,0.11,0.09,0.08]",,33.87,1185.67,0,22,,,,,,,0.0,,,0.99,,,,0.09,0.5,168.71,83.28,79.54,83.72,73.44,79.98,75.6,90.68,72.91,74.65,90.56,0.1,0.09,0.1,0.09,-0.04,0.09,0.1,0.11,0.09,0.08,,,,,,,,,,
23,30.818313598632812,-105.10372924804688,80.49,7.31,0.81,0.08,-0.02,0.0,,,,"[83.31,79.60,83.77,73.51,80.05,75.65,90.71,72.99,74.70,90.62]","[0.10,0.09,0.10,0.09,-0.04,0.09,0.10,0.11,0.09,0.08]",,33.6,1185.4,0,23,,,,,,,0.01,,,0.97,,,,0.09,0.51,225.24,83.31,79.6,83.77,73.51,80.05,75.65,90.71,72.99,74.7,90.62,0.1,0.09,0.1,0.09,-0.04,0.09,0.1,0.11,0.09,0.08,,,,,,,,,,
24,30.818313598632812,-105.10369110107422,80.54,7.33,0.81,0.08,-0.02,0.0,,,,"[83.34,79.65,83.83,73.59,80.11,75.70,90.74,73.07,74.75,90.67]","[0.10,0.09,0.10,0.08,-0.04,0.09,0.10,0.10,0.09,0.08]",,33.32,1185.12,0,24,,,,,,,0.02,,,0.95,,,,0.09,0.51,180.95,83.34,79.65,83.83,73.59,80.11,75.7,90.74,73.07,74.75,90.67,0.1,0.09,0.1,0.08,-0.04,0.09,0.1,0.1,0.09,0.08,,,,,,,,,,
25,30.818313598632812,-105.10363006591797,80.6,7.36,0.82,0.08,-0.02,0.0,,,,"[83.37,79.71,83.88,73.66,80.18,75.75,90.77,73.15,74.81,90.73]","[0.10,0.09,0.10,0.08,-0.03,0.09,0.10,0.10,0.09,0.08]",,32.94,1184.74,0,25,,,,,,,0.03,,,0.93,,,,0.12,0.51,159.56,83.37,79.71,83.88,73.66,80.18,75.75,90.77,73.15,74.81,90.73,0.1,0.09,0.1,0.08,-0.03,0.09,0.1,0.1,0.09,0.08,,,,,,,,,,
26,30.818313598632812,-105.10360717773438,80.66,7.39,0.82,0.08,-0.02,0.0,,,,"[83.40,79.76,83.94,73.73,80.24,75.80,90.81,73.23,74.86,90.78]","[0.10,0.09,0.10,0.08,-0.03,0.09,0.10,0.10,0.09,0.08]",,32.43,1184.23,0,26,,,,,,,0.04,,,0.91,,,,0.16,0.5,142.54,83.4,79.76,83.94,73.73,80.24,75.8,90.81,73.23,74.86,90.78,0.1,0.09,0.1,0.08,-0.03,0.09,0.1,0.1,0.09,0.08,,,,,,,,,,
27,30.818313598632812,-105.10355377197266,80.69,7.43,0.83,0.08,-0.02,0.0,,,,"[83.41,79.78,83.96,73.78,80.28,75.82,90.83,73.30,74.89,90.84]","[0.10,0.09,0.10,0.08,-0.03,0.09,0.10,0.10,0.09,0.08]",,31.78,1183.58,0,27,,,,,,,0.04,,,0.9,,,,0.16,0.52,206.31,83.41,79.78,83.96,73.78,80.28,75.82,90.83,73.3,74.89,90.84,0.1,0.09,0.1,0.08,-0.03,0.09,0.1,0.1,0.09,0.08,,,,,,,,,,
28,30.818313598632812,-105.103515625,80.71,7.48,0.83,0.08,-0.02,0.0,,,,"[83.40,79.77,83.97,73.81,80.31,75.83,90.85,73.35,74.90,90.88]","[0.10,0.09,0.10,0.08,-0.03,0.09,0.10,0.10,0.09,0.08]",,31.16,1182.96,0,28,,,,,,,0.04,,,0.9,,,,0.14,0.52,242.66,83.4,79.77,83.97,73.81,80.31,75.83,90.85,73.35,74.9,90.88,0.1,0.09,0.1,0.08,-0.03,0.09,0.1,0.1,0.09,0.08,,,,,,,,,,
29,30.818313598632812,-105.10345458984375,80.72,7.54,0.84,0.08,-0.02,0.0,,,,"[83.39,79.76,83.97,73.84,80.33,75.84,90.87,73.41,74.91,90.93]","[0.10,0.09,0.10,0.08,-0.03,0.09,0.10,0.10,0.09,0.08]",,30.51,1182.3,0,29,,,,,,,0.04,,,0.91,,,,0.16,0.51,140.35,83.39,79.76,83.97,73.84,80.33,75.84,90.87,73.41,74.91,90.93,0.1,0.09,0.1,0.08,-0.03,0.09,0.1,0.1,0.09,0.08,,,,,,,,,,
30,30.818313598632812,-105.1034164428711,80.74,7.59,0.84,0.08,-0.02,0.0,,,,"[83.38,79.75,83.98,73.88,80.35,75.85,90.88,73.46,74.93,90.97]","[0.10,0.10,0.10,0.08,-0.02,0.09,0.10,0.10,0.09,0.08]",,29.83,1181.63,0,30,,,,,,,0.04,,,0.91,,,,0.14,0.46,144.96,83.38,79.75,83.98,73.88,80.35,75.85,90.88,73.46,74.93,90.97,0.1,0.1,0.1,0.08,-0.02,0.09,0.1,0.1,0.09,0.08,,,,,,,,,,
31,30.818313598632812,-105.1033706665039,80.76,7.65,0.85,0.08,-0.02,0.0,,,,"[83.37,79.74,83.98,73.91,80.38,75.86,90.90,73.51,74.94,91.02]","[0.10,0.10,0.10,0.08,-0.02,0.09,0.10,0.10,0.09,0.08]",,29.48,1181.28,0,31,,,,,,,0.04,,,0.91,,,,0.14,0.5,242.41,83.37,79.74,83.98,73.91,80.38,75.86,90.9,73.51,74.94,91.02,0.1,0.1,0.1,0.08,-0.02,0.09,0.1,0.1,0.09,0.08,,,,,,,,,,
32,30.818313598632812,-105.10333251953125,80.78,7.7,0.86,0.08,-0.02,0.0,,,,"[83.36,79.73,83.99,73.94,80.40,75.87,90.92,73.56,74.95,91.07]","[0.10,0.10,0.10,0.08,-0.02,0.09,0.10,0.10,0.09,0.08]",,29.15,1180.94,0,32,,,,,,,0.04,,,0.91,,,,0.13,0.52,207.56,83.36,79.73,83.99,73.94,80.4,75.87,90.92,73.56,74.95,91.07,0.1,0.1,0.1,0.08,-0.02,0.09,0.1,0.1,0.09,0.08,,,,,,,,,,
33,30.818313598632812,-105.10327911376953,80.78,7.77,0.86,0.08,-0.02,0.0,,,,"[83.34,79.68,83.97,73.95,80.40,75.85,90.94,73.59,74.94,91.11]","[0.10,0.10,0.10,0.08,-0.02,0.09,0.10,0.10,0.09,0.08]",,28.65,1180.45,0,33,,,,,,,0.04,,,0.91,,,,0.15,0.53,121.21,83.34,79.68,83.97,73.95,80.4,75.85,90.94,73.59,74.94,91.11,0.1,0.1,0.1,0.08,-0.02,0.09,0.1,0.1,0.09,0.08,,,,,,,,,,
34,30.818313598632812,-105.10324096679688,80.75,7.84,0.87,0.08,-0.02,0.0,,,,"[83.29,79.60,83.92,73.94,80.38,75.80,90.95,73.59,74.91,91.14]","[0.10,0.10,0.10,0.08,-0.02,0.09,0.10,0.10,0.09,0.08]",,28.0,1179.8,0,34,,,,,,,0.05,,,0.9,,,,0.13,0.51,201.28,83.29,79.6,83.92,73.94,80.38,75.8,90.95,73.59,74.91,91.14,0.1,0.1,0.1,0.08,-0.02,0.09,0.1,0.1,0.09,0.08,,,,,,,,,,
35,30.818313598632812,-105.10320281982422,80.73,7.91,0.88,0.08,-0.02,0.0,,,,"[83.25,79.52,83.87,73.92,80.36,75.76,90.97,73.59,74.89,91.16]","[0.10,0.10,0.10,0.08,-0.02,0.09,0.10,0.10,0.09,0.08]",,27.38,1179.18,0,35,,,,,,,0.05,,,0.89,,,,0.13,0.48,226.02,83.25,79.52,83.87,73.92,80.36,75.76,90.97,73.59,74.89,91.16,0.1,0.1,0.1,0.08,-0.02,0.09,0.1,0.1,0.09,0.08,,,,,,,,,,
36,30.818313598632812,-105.10314178466797,80.71,7.99,0.89,0.09,-0.01,0.0,,,,"[83.21,79.44,83.82,73.91,80.34,75.71,90.98,73.60,74.86,91.19]","[0.10,0.10,0.10,0.08,-0.01,0.09,0.11,0.11,0.10,0.09]",,26.87,1178.67,0,36,,,,,,,0.06,,,0.87,,,,0.12,0.5,170.38,83.21,79.44,83.82,73.91,80.34,75.71,90.98,73.6,74.86,91.19,0.1,0.1,0.1,0.08,-0.01,0.09,0.11,0.11,0.1,0.09,,,,,,,,,,
37,30.818313598632812,-105.10310363769531,80.68,8.06,0.9,0.09,-0.01,0.0,,,,"[83.17,79.36,83.77,73.89,80.32,75.67,91.00,73.60,74.83,91.22]","[0.10,0.10,0.10,0.08,-0.01,0.09,0.11,0.11,0.10,0.09]",,26.45,1178.25,0,37,,,,,,,0.06,,,0.86,,,,0.1,0.52,202.93,83.17,79.36,83.77,73.89,80.32,75.67,91.0,73.6,74.83,91.22,0.1,0.1,0.1,0.08,-0.01,0.09,0.11,0.11,0.1,0.09,,,,,,,,,,
38,30.818313598632812,-105.10306549072266,80.66,8.13,0.9,0.09,-0.01,0.0,,,,"[83.12,79.28,83.72,73.88,80.30,75.62,91.01,73.60,74.80,91.25]","[0.10,0.10,0.10,0.08,-0.01,0.09,0.11,0.11,0.10,0.09]",,26.18,1177.98,0,38,,,,,,,0.07,,,0.85,,,,0.11,0.49,148.0,83.12,79.28,83.72,73.88,80.3,75.62,91.01,73.6,74.8,91.25,0.1,0.1,0.1,0.08,-0.01,0.09,0.11,0.11,0.1,0.09,,,,,,,,,,
39,30.818313598632812,-105.10301971435547,80.62,8.18,0.91,0.09,-0.01,0.0,,,,"[83.08,79.20,83.66,73.83,80.26,75.57,91.02,73.56,74.76,91.25]","[0.10,0.10,0.10,0.08,-0.01,0.09,0.11,0.11,0.10,0.09]",,25.94,1177.74,0,39,,,,,,,0.07,,,0.84,,,,0.12,0.54,146.21,83.08,79.2,83.66,73.83,80.26,75.57,91.02,73.56,74.76,91.25,0.1,0.1,0.1,0.08,-0.01,0.09,0.11,0.11,0.1,0.09,,,,,,,,,,
40,30.818313598632812,-105.10296630859375,80.57,8.19,0.91,0.09,-0.01,0.0,,,,"[83.04,79.11,83.59,73.76,80.19,75.51,91.02,73.48,74.71,91.22]","[0.10,0.10,0.10,0.08,0.00,0.09,0.11,0.11,0.10,0.09]",,25.28,1177.08,0,40,,,,,,,0.07,,,0.84,,,,0.15,0.5,140.44,83.04,79.11,83.59,73.76,80.19,75.51,91.02,73.48,74.71,91.22,0.1,0.1,0.1,0.08,0.0,0.09,0.11,0.11,0.1,0.09,,,,,,,,,,
41,30.818313598632812,-105.10292053222656,80.51,8.2,0.91,0.09,-0.01,0.0,,,,"[82.99,79.03,83.52,73.69,80.12,75.45,91.03,73.41,74.66,91.19]","[0.10,0.10,0.10,0.08,0.00,0.09,0.11,0.11,0.10,0.09]",,24.46,1176.26,0,41,,,,,,,0.08,,,0.84,,,,0.1,0.48,233.67,82.99,79.03,83.52,73.69,80.12,75.45,91.03,73.41,74.66,91.19,0.1,0.1,0.1,0.08,0.0,0.09,0.11,0.11,0.1,0.09,,,,,,,,,,
42,30.818313598632812,-105.1028823852539,80.45,8.21,0.91,0.09,-0.01,0.0,,,,"[82.95,78.94,83.45,73.62,80.05,75.39,91.03,73.33,74.62,91.16]","[0.10,0.10,0.11,0.08,0.01,0.10,0.11,0.11,0.10,0.09]",,24.21,1176.0,0,42,,,,,,,0.08,,,0.83,,,,0.07,0.52,209.11,82.95,78.94,83.45,73.62,80.05,75.39,91.03,73.33,74.62,91.16,0.1,0.1,0.11,0.08,0.01,0.1,0.11,0.11,0.1,0.09,,,,,,,,,,
43,30.818313598632812,-105.10282897949219,80.4,8.22,0.91,0.09,-0.01,0.0,,,,"[82.91,78.85,83.37,73.54,79.98,75.33,91.03,73.25,74.57,91.13]","[0.10,0.10,0.11,0.08,0.01,0.10,0.11,0.11,0.10,0.09]",,24.08,1175.88,0,43,,,,,,,0.08,,,0.83,,,,0.05,0.49,183.32,82.91,78.85,83.37,73.54,79.98,75.33,91.03,73.25,74.57,91.13,0.1,0.1,0.11,0.08,0.01,0.1,0.11,0.11,0.1,0.09,,,,,,,,,,
