geoid,idx_row,idx_col,lat,lon,lstf,lstf_serc,lstf_arc,ndvi,ndvi_serc,ndvi_arc,ndmi,ndmi_serc,ndmi_arc,lstf_temporal,ndvi_temporal,ndmi_temporal,elv_rel,elv,tri,mdrdasp,mdrdconc,mdrdgrv,mdrdunp,mdconst,mdbldg,lstf_ndvi_corr,lstf_ndmi_corr,ndvi_ndmi_corr,lstf_ndvi_pval,lstf_ndmi_pval,ndvi_ndmi_pval,downhill_fraction,dom_clock_dir,lstf_2016,lstf_2017,lstf_2018,lstf_2019,lstf_2020,lstf_2021,lstf_2022,lstf_2023,lstf_2024,lstf_2025,ndvi_2016,ndvi_2017,ndvi_2018,ndvi_2019,ndvi_2020,ndvi_2021,ndvi_2022,ndvi_2023,ndvi_2024,ndvi_2025,ndmi_2016,ndmi_2017,ndmi_2018,ndmi_2019,ndmi_2020,ndmi_2021,ndmi_2022,ndmi_2023,ndmi_2024,ndmi_2025
29,0,29,32.85430908203125,-96.84382629394531,102.4,3.92,0,0.44,0.01,0,0.19,0.0,0,"[100.44,104.36]","[0.44,0.45]","[0.19,0.19]",39.23,151.98,0,0,0,0,0,0,0,0.05,0.08,0.16,0,0,0,0,,100.44,104.36,,,,,,,,,0.44,0.45,,,,,,,,,0.19,0.19,,,,,,,,
30,0,30,32.85430908203125,-96.84201049804688,104.35,5.18,0,0.41,0.0,0,0.17,-0.0,0,"[101.76,106.94]","[0.41,0.41]","[0.17,0.17]",42.77,155.53,0,0,0,0,0,0,0,0.4,-0.32,0.27,0,0,0,0,,101.76,106.94,,,,,,,,,0.41,0.41,,,,,,,,,0.17,0.17,,,,,,,,
31,0,31,32.85430908203125,-96.84022521972656,102.51,4.94,0,0.48,0.01,0,0.21,-0.01,0,"[100.04,104.98]","[0.47,0.48]","[0.22,0.21]",45.42,158.17,0,0,0,0,0,0,0,0.82,-0.43,-0.28,0,0,0,0,,100.04,104.98,,,,,,,,,0.47,0.48,,,,,,,,,0.22,0.21,,,,,,,,
32,0,32,32.85430908203125,-96.83845520019531,99.17,3.17,0,0.53,0.0,0,0.25,-0.0,0,"[97.59,100.76]","[0.53,0.53]","[0.26,0.25]",45.09,157.84,0,0,0,0,0,0,0,0.21,-0.69,0.04,0,0,0,0,,97.59,100.76,,,,,,,,,0.53,0.53,,,,,,,,,0.26,0.25,,,,,,,,
33,0,33,32.85430908203125,-96.83663940429688,98.5,2.63,0,0.5,0.0,0,0.23,-0.01,0,"[97.18,99.82]","[0.50,0.50]","[0.23,0.22]",44.34,157.1,0,0,0,0,0,0,0,0.19,-0.39,0.29,0,0,0,0,,97.18,99.82,,,,,,,,,0.5,0.5,,,,,,,,,0.23,0.22,,,,,,,,
34,0,34,32.85430908203125,-96.83484649658203,97.85,2.8,0,0.54,0.02,0,0.27,0.01,0,"[96.45,99.25]","[0.53,0.55]","[0.27,0.28]",45.04,157.8,0,0,0,0,0,0,0,0.63,0.42,0.34,0,0,0,0,,96.45,99.25,,,,,,,,,0.53,0.55,,,,,,,,,0.27,0.28,,,,,,,,
35,0,35,32.85430908203125,-96.8330307006836,100.11,3.95,0,0.5,0.02,0,0.24,-0.01,0,"[98.14,102.09]","[0.49,0.51]","[0.24,0.24]",45.84,158.6,0,0,0,0,0,0,0,0.88,-0.12,-0.06,0,0,0,0,,98.14,102.09,,,,,,,,,0.49,0.51,,,,,,,,,0.24,0.24,,,,,,,,
36,0,36,32.85430908203125,-96.83125305175781,101.59,5.15,0,0.49,-0.0,0,0.19,-0.02,0,"[99.01,104.16]","[0.49,0.49]","[0.20,0.19]",46.52,159.28,0,0,0,0,0,0,0,-0.09,-0.51,0.5,0,0,0,0,,99.01,104.16,,,,,,,,,0.49,0.49,,,,,,,,,0.2,0.19,,,,,,,,
37,0,37,32.85430908203125,-96.82947540283203,102.05,6.42,0,0.46,0.01,0,0.21,-0.01,0,"[98.84,105.26]","[0.46,0.47]","[0.22,0.21]",48.57,161.32,0,0,0,0,0,0,0,0.38,-0.59,0.03,0,0,0,0,,98.84,105.26,,,,,,,,,0.46,0.47,,,,,,,,,0.22,0.21,,,,,,,,
38,0,38,32.85430908203125,-96.8276596069336,102.43,7.1,0,0.47,0.0,0,0.21,-0.01,0,"[98.88,105.98]","[0.46,0.47]","[0.21,0.20]",51.41,164.16,0,0,0,0,0,0,0,0.34,-0.16,0.47,0,0,0,0,,98.88,105.98,,,,,,,,,0.46,0.47,,,,,,,,,0.21,0.2,,,,,,,,
39,0,39,32.85430908203125,-96.82585906982422,105.92,3.41,0,0.43,-0.01,0,0.19,-0.02,0,"[104.21,107.62]","[0.43,0.42]","[0.20,0.18]",54.62,167.37,0,0,0,0,0,0,0,0.0,0.06,0.6,0,0,0,0,,104.21,107.62,,,,,,,,,0.43,0.42,,,,,,,,,0.2,0.18,,,,,,,,
40,0,40,32.85430908203125,-96.82404327392578,107.79,-8.0,0,0.41,-0.02,0,0.18,-0.03,0,"[111.79,103.79]","[0.43,0.40]","[0.19,0.16]",57.1,169.85,0,0,0,0,0,0,0,0.71,0.46,0.75,0,0,0,0,,111.79,103.79,,,,,,,,,0.43,0.4,,,,,,,,,0.19,0.16,,,,,,,,
41,0,41,32.85430908203125,-96.82225799560547,105.64,-13.99,0,0.45,-0.03,0,0.22,-0.02,0,"[112.63,98.64]","[0.46,0.44]","[0.23,0.21]",56.8,169.56,0,0,0,0,0,0,0,0.97,0.5,0.54,0,0,0,0,,112.63,98.64,,,,,,,,,0.46,0.44,,,,,,,,,0.23,0.21,,,,,,,,
42,0,42,32.85430908203125,-96.82048797607422,106.22,-12.21,0,0.49,-0.01,0,0.22,-0.02,0,"[112.33,100.11]","[0.50,0.49]","[0.23,0.21]",55.57,168.32,0,0,0,0,0,0,0,0.41,0.65,0.7,0,0,0,0,,112.33,100.11,,,,,,,,,0.5,0.49,,,,,,,,,0.23,0.21,,,,,,,,
43,0,43,32.85430908203125,-96.81867218017578,105.19,-0.34,0,0.43,-0.01,0,0.19,-0.02,0,"[105.35,105.02]","[0.44,0.43]","[0.20,0.17]",55.48,168.23,0,0,0,0,0,0,0,0.07,-0.14,0.73,0,0,0,0,,105.35,105.02,,,,,,,,,0.44,0.43,,,,,,,,,0.2,0.17,,,,,,,,
44,0,44,32.85430908203125,-96.8168716430664,103.64,3.9,0,0.39,-0.01,0,0.16,-0.01,0,"[101.69,105.59]","[0.39,0.39]","[0.16,0.15]",57.76,170.52,0,0,0,0,0,0,0,-0.35,-0.56,0.35,0,0,0,0,,101.69,105.59,,,,,,,,,0.39,0.39,,,,,,,,,0.16,0.15,,,,,,,,
45,0,45,32.85430908203125,-96.81505584716797,101.89,4.91,0,0.45,0.01,0,0.19,0.0,0,"[99.44,104.34]","[0.45,0.46]","[0.19,0.19]",60.25,173.01,0,0,0,0,0,0,0,0.43,0.22,0.48,0,0,0,0,,99.44,104.34,,,,,,,,,0.45,0.46,,,,,,,,,0.19,0.19,,,,,,,,
46,0,46,32.85430908203125,-96.81327819824219,102.87,4.28,0,0.43,0.0,0,0.16,-0.01,0,"[100.73,105.01]","[0.43,0.43]","[0.16,0.16]",61.34,174.09,0,0,0,0,0,0,0,-0.11,-0.24,0.73,0,0,0,0,,100.73,105.01,,,,,,,,,0.43,0.43,,,,,,,,,0.16,0.16,,,,,,,,
47,0,47,32.85430908203125,-96.8115005493164,102.67,4.58,0,0.48,-0.0,0,0.23,-0.02,0,"[100.37,104.96]","[0.48,0.48]","[0.24,0.22]",61.56,174.31,0,0,0,0,0,0,0,-0.25,-0.89,0.36,0,0,0,0,,100.37,104.96,,,,,,,,,0.48,0.48,,,,,,,,,0.24,0.22,,,,,,,,
48,0,48,32.85430908203125,-96.80968475341797,102.17,5.2,0,0.49,0.0,0,0.23,-0.01,0,"[99.57,104.77]","[0.48,0.49]","[0.24,0.23]",61.71,174.47,0,0,0,0,0,0,0,0.12,-0.53,0.36,0,0,0,0,,99.57,104.77,,,,,,,,,0.48,0.49,,,,,,,,,0.24,0.23,,,,,,,,
49,0,49,32.85430908203125,-96.80789184570312,101.24,6.45,0,0.49,0.01,0,0.25,-0.01,0,"[98.02,104.47]","[0.48,0.49]","[0.26,0.24]",61.72,174.47,0,0,0,0,0,0,0,0.31,-0.4,0.25,0,0,0,0,,98.02,104.47,,,,,,,,,0.48,0.49,,,,,,,,,0.26,0.24,,,,,,,,
50,0,50,32.85430908203125,-96.80607604980469,101.81,8.18,0,0.46,0.02,0,0.23,-0.03,0,"[97.72,105.91]","[0.45,0.47]","[0.24,0.21]",61.61,174.36,0,0,0,0,0,0,0,0.78,-0.97,-0.75,0,0,0,0,,97.72,105.91,,,,,,,,,0.45,0.47,,,,,,,,,0.24,0.21,,,,,,,,
51,0,51,32.85430908203125,-96.8042984008789,100.84,11.95,0,0.43,0.02,0,0.22,-0.03,0,"[94.87,106.82]","[0.41,0.44]","[0.23,0.20]",61.72,174.48,0,0,0,0,0,0,0,0.81,-0.7,-0.68,0,0,0,0,,94.87,106.82,,,,,,,,,0.41,0.44,,,,,,,,,0.23,0.2,,,,,,,,
52,0,52,32.85430908203125,-96.80252075195312,96.99,18.9,0,0.48,0.02,0,0.26,-0.02,0,"[87.54,106.44]","[0.47,0.49]","[0.27,0.25]",61.26,174.01,0,0,0,0,0,0,0,0.68,-0.7,-0.38,0,0,0,0,,87.54,106.44,,,,,,,,,0.47,0.49,,,,,,,,,0.27,0.25,,,,,,,,
53,0,53,32.85430908203125,-96.80070495605469,94.57,20.19,0,0.48,-0.0,0,0.24,-0.01,0,"[84.47,104.66]","[0.48,0.48]","[0.24,0.23]",59.45,172.2,0,0,0,0,0,0,0,-0.31,-0.82,0.45,0,0,0,0,,84.47,104.66,,,,,,,,,0.48,0.48,,,,,,,,,0.24,0.23,,,,,,,,
54,0,54,32.85430908203125,-96.79890441894531,98.88,11.52,0,0.46,0.06,0,0.25,-0.01,0,"[93.12,104.64]","[0.43,0.49]","[0.25,0.24]",58.29,171.05,0,0,0,0,0,0,0,1.0,-0.29,-0.29,0,0,0,0,,93.12,104.64,,,,,,,,,0.43,0.49,,,,,,,,,0.25,0.24,,,,,,,,
55,0,55,32.85430908203125,-96.79708862304688,99.74,8.94,0,0.44,0.05,0,0.22,-0.03,0,"[95.27,104.21]","[0.41,0.46]","[0.24,0.21]",59.38,172.14,0,0,0,0,0,0,0,1.0,-0.94,-0.94,0,0,0,0,,95.27,104.21,,,,,,,,,0.41,0.46,,,,,,,,,0.24,0.21,,,,,,,,
56,0,56,32.85430908203125,-96.7953109741211,92.95,17.77,0,0.44,0.02,0,0.23,-0.03,0,"[84.07,101.84]","[0.43,0.45]","[0.24,0.21]",60.78,173.53,0,0,0,0,0,0,0,0.79,-0.88,-0.67,0,0,0,0,,84.07,101.84,,,,,,,,,0.43,0.45,,,,,,,,,0.24,0.21,,,,,,,,
