geoid,lat,lon,lstf,lstf_serc,lstf_arc,ndvi,ndvi_serc,ndvi_arc,ndmi,ndmi_serc,ndmi_arc,elv_rel,elv,mdrdasp,mdrdconc,mdrdgrv,mdrdunp,mdconst,mdbldg,lstf_ndvi_corr,lstf_ndmi_corr,ndvi_ndmi_corr,lstf_ndvi_pval,lstf_ndmi_pval,ndvi_ndmi_pval,ls_land_cover,cl_land_cover,terrain_classification,anisotropy,downhill_fraction,dom_angle_deg,dom_dir
46185,30.833011872858187,-105.07075768138739,122.95,7.489999771118164,0.6800000071525574,0.13,0.0,0.0,-0.1,0.0,0.0,193.48,1321.04,300.0,300.0,300.0,300.0,300.0,300.0,-0.7910000085830688,-0.6669999957084656,0.7919999957084656,0.061,0.148,0.06,BN,,DSS,0.08105459656568861,0.5,147.66506376504236,NW
46716,30.832922041329773,-105.07075768138739,123.05,7.619999885559082,0.6899999976158142,0.13,-0.01,0.0,-0.1,-0.01,0.0,191.5,1319.06,300.0,300.0,300.0,300.0,300.0,300.0,-0.8389999866485596,-0.8299999833106995,0.890999972820282,0.037,0.041,0.017,BN,,DSS,0.095735183833574,0.625,150.52411099675444,NW
47247,30.83283220980136,-105.07075768138739,123.05,7.619999885559082,0.6899999976158142,0.13,-0.01,0.0,-0.1,-0.01,0.0,189.25,1316.81,300.0,300.0,300.0,300.0,300.0,300.0,-0.8389999866485596,-0.8299999833106995,0.890999972820282,0.037,0.041,0.017,BN,,DSS,0.06695406214129612,0.625,122.00538320808306,NW
47778,30.832742378272947,-105.07075768138739,123.05,7.619999885559082,0.6899999976158142,0.13,-0.01,0.0,-0.1,-0.01,0.0,186.43,1313.99,300.0,300.0,300.0,300.0,300.0,300.0,-0.8389999866485596,-0.8299999833106995,0.890999972820282,0.037,0.041,0.017,BN,,DSS,0.0712412369460191,0.5,72.47443162627602,N
48309,30.832652546744534,-105.07075768138739,122.85,7.639999866485596,0.6899999976158142,0.1,0.0,0.0,-0.1,0.0,0.0,182.97,1310.53,300.0,300.0,300.0,300.0,300.0,300.0,-0.7400000095367432,-0.609000027179718,0.6159999966621399,0.092,0.199,0.193,BN,,DSS,0.07716335274084296,0.5,71.2545079875711,N
48840,30.83256271521612,-105.07075768138739,122.85,7.639999866485596,0.6899999976158142,0.1,0.0,0.0,-0.1,0.0,0.0,179.09,1306.65,300.0,300.0,300.0,300.0,300.0,300.0,-0.7400000095367432,-0.609000027179718,0.6159999966621399,0.092,0.199,0.193,BN,,DSS,0.02811906453289714,0.5,-24.274441134444615,SE
49371,30.832472883687707,-105.07075768138739,122.85,7.639999866485596,0.6899999976158142,0.1,0.0,0.0,-0.1,0.0,0.0,175.08,1302.64,300.0,300.0,300.0,300.0,300.0,300.0,-0.7400000095367432,-0.609000027179718,0.6159999966621399,0.092,0.199,0.193,BN,,DSS,0.180329558552429,0.5,-74.44801462961782,S
49902,30.832383052159294,-105.07075768138739,122.72,7.630000114440918,0.6899999976158142,0.13,0.0,0.0,-0.12,0.0,0.0,171.32,1298.88,300.0,300.0,300.0,300.0,300.0,300.0,-0.7760000228881836,-0.6100000143051147,0.7979999780654907,0.07,0.199,0.057,WS,,DSS,0.24443293437181265,0.5,-67.61986494804061,S
50433,30.83229322063088,-105.07075768138739,122.72,7.630000114440918,0.6899999976158142,0.13,0.0,0.0,-0.12,0.0,0.0,168.24,1295.8,300.0,300.0,300.0,300.0,300.0,300.0,-0.7760000228881836,-0.6100000143051147,0.7979999780654907,0.07,0.199,0.057,WS,,DSS,0.2453236977687234,0.5,-34.78602701493048,SE
50964,30.832203389102467,-105.07075768138739,122.72,7.630000114440918,0.6899999976158142,0.13,0.0,0.0,-0.12,0.0,0.0,165.86,1293.42,300.0,300.0,300.0,300.0,300.0,300.0,-0.7760000228881836,-0.6100000143051147,0.7979999780654907,0.07,0.199,0.057,WS,,DSS,0.187165754235596,0.5,27.678281974083017,NE
51495,30.832113557574054,-105.07075768138739,122.7,7.670000076293945,0.699999988079071,0.1,0.01,0.0,-0.12,0.0,0.0,163.5,1291.06,300.0,300.0,300.0,300.0,300.0,300.0,-0.5440000295639038,-0.48399999737739563,0.5600000023841858,0.265,0.331,0.248,WS,,,0.10834433656010385,0.375,-0.8550973962677836,E
52026,30.83202372604564,-105.07075768138739,122.7,7.670000076293945,0.699999988079071,0.1,0.01,0.0,-0.12,0.0,0.0,160.66,1288.22,300.0,300.0,300.0,300.0,300.0,300.0,-0.5440000295639038,-0.48399999737739563,0.5600000023841858,0.265,0.331,0.248,WS,,,0.2410059500126146,0.375,-79.14989537020237,S
